epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.052,1.45893,4.82572,1.21231,0.00178,0.18777,0.01239,0.00708,1.37209,4.03372,1.10624,0.000361721,0.000361721,0.000361721
2,76.6253,1.39106,3.96475,1.12535,0.29043,0.045,0.0506,0.03178,1.52661,3.45193,1.21754,0.000724807,0.000724807,0.000724807
3,115.986,1.36141,3.59087,1.11792,0.43378,0.06476,0.02692,0.01659,1.67339,3.77402,1.37729,0.00108056,0.00108056,0.00108056
4,156.751,1.27064,3.22153,1.07223,0.08956,0.18359,0.05377,0.02957,1.63059,3.1747,1.38424,0.001078,0.001078,0.001078
5,196.685,1.19958,2.83331,1.02845,0.11348,0.20079,0.09018,0.05138,1.70947,3.06646,1.4806,0.001067,0.001067,0.001067
6,237.638,1.11678,2.40745,0.99937,0.15705,0.14976,0.07406,0.04416,1.7088,3.14251,1.35183,0.00105601,0.00105601,0.00105601
7,278.411,1.06893,2.19261,0.96124,0.13431,0.16081,0.07344,0.04428,1.66895,3.16077,1.3873,0.00104501,0.00104501,0.00104501
8,320.458,0.98166,1.96776,0.93424,0.15515,0.15309,0.08126,0.04613,1.65743,3.08841,1.36345,0.00103401,0.00103401,0.00103401
9,359.905,0.92106,1.71624,0.90566,0.21795,0.18271,0.10981,0.06879,1.68325,2.97861,1.39606,0.00102301,0.00102301,0.00102301
10,401.561,0.8243,1.40474,0.88744,0.17489,0.1201,0.08798,0.05515,1.6503,3.42286,1.30804,0.00101201,0.00101201,0.00101201
11,442.158,0.79281,1.2257,0.87055,0.15045,0.11723,0.07344,0.04234,1.65485,3.20865,1.37372,0.00100101,0.00100101,0.00100101
12,482.893,0.7708,1.12035,0.86508,0.14786,0.15967,0.08889,0.05126,1.63231,3.07749,1.30221,0.000990012,0.000990012,0.000990012
13,524.734,0.72045,0.9632,0.85376,0.21254,0.13422,0.11148,0.06858,1.66084,3.27669,1.32458,0.000979013,0.000979013,0.000979013
14,565.928,0.71187,0.88334,0.84636,0.16931,0.14455,0.09525,0.05959,1.65947,3.29528,1.32924,0.000968014,0.000968014,0.000968014
15,606.29,0.67345,0.79627,0.83839,0.23069,0.16369,0.12627,0.07952,1.6641,3.24568,1.32425,0.000957015,0.000957015,0.000957015
16,645.587,0.6283,0.71682,0.83071,0.17618,0.17207,0.10639,0.0668,1.72995,3.48489,1.38238,0.000946016,0.000946016,0.000946016
17,685.435,0.61093,0.67602,0.8247,0.27374,0.14538,0.12311,0.07892,1.71208,3.67613,1.31886,0.000935018,0.000935018,0.000935018
18,726.872,0.59997,0.62849,0.82306,0.20041,0.13548,0.0984,0.05938,1.71641,3.49217,1.36161,0.000924019,0.000924019,0.000924019
19,766.747,0.57242,0.5646,0.8143,0.1868,0.14395,0.10088,0.06353,1.71173,3.59522,1.36686,0.00091302,0.00091302,0.00091302
20,808.214,0.56625,0.56353,0.81211,0.16629,0.15609,0.09923,0.06584,1.65605,3.51653,1.32635,0.000902021,0.000902021,0.000902021
21,849.143,0.56154,0.56403,0.81645,0.19554,0.16136,0.12021,0.07542,1.6921,3.4248,1.34383,0.000891022,0.000891022,0.000891022
22,890.216,0.5377,0.51709,0.80762,0.17899,0.15548,0.0957,0.05914,1.67208,3.41728,1.31421,0.000880023,0.000880023,0.000880023
23,930.18,0.52745,0.48662,0.80491,0.24535,0.13657,0.12962,0.08596,1.68397,3.91074,1.3213,0.000869024,0.000869024,0.000869024
24,971.055,0.51256,0.47739,0.80664,0.20755,0.16241,0.12679,0.07937,1.67706,3.82243,1.31453,0.000858025,0.000858025,0.000858025
25,1011.78,0.49479,0.45274,0.80008,0.17634,0.14987,0.1178,0.07872,1.67728,3.8145,1.32967,0.000847026,0.000847026,0.000847026
26,1052.72,0.46993,0.42469,0.79688,0.20262,0.14933,0.12048,0.08046,1.67591,3.66496,1.3371,0.000836027,0.000836027,0.000836027
27,1092.06,0.46967,0.41349,0.79762,0.21434,0.1516,0.13292,0.08831,1.66505,3.83284,1.31906,0.000825029,0.000825029,0.000825029
28,1133.3,0.43652,0.38241,0.79113,0.20048,0.14426,0.11107,0.06881,1.67384,3.80962,1.32352,0.00081403,0.00081403,0.00081403
29,1171.92,0.43033,0.37898,0.79121,0.15842,0.13177,0.09713,0.06341,1.70617,3.8802,1.35175,0.000803031,0.000803031,0.000803031
30,1213.03,0.41529,0.36257,0.7905,0.19994,0.15797,0.11535,0.07399,1.68664,3.75339,1.33406,0.000792032,0.000792032,0.000792032
31,1252.8,0.40178,0.35043,0.78925,0.21221,0.12483,0.11526,0.07757,1.6412,4.18948,1.30116,0.000781033,0.000781033,0.000781033
32,1292.95,0.41377,0.3475,0.78681,0.16545,0.15858,0.10976,0.07206,1.68816,3.65151,1.35068,0.000770034,0.000770034,0.000770034
33,1333.13,0.38406,0.3209,0.78443,0.19826,0.16629,0.12687,0.08661,1.62857,3.81409,1.30206,0.000759035,0.000759035,0.000759035
34,1373.12,0.38365,0.3213,0.78594,0.21,0.17173,0.14465,0.09549,1.5811,3.73973,1.29302,0.000748036,0.000748036,0.000748036
35,1411.68,0.38265,0.31653,0.78587,0.20472,0.15449,0.13653,0.09094,1.64504,3.80508,1.32518,0.000737037,0.000737037,0.000737037
36,1454.11,0.36162,0.29657,0.78195,0.22747,0.17277,0.13488,0.08537,1.64982,3.88893,1.32451,0.000726038,0.000726038,0.000726038
37,1494.29,0.35304,0.28798,0.78183,0.20374,0.14244,0.13035,0.08877,1.68454,4.0494,1.30329,0.00071504,0.00071504,0.00071504
38,1534.25,0.35956,0.29043,0.78289,0.19977,0.15836,0.12333,0.08208,1.64886,3.88407,1.31458,0.000704041,0.000704041,0.000704041
39,1574.57,0.3396,0.27776,0.78149,0.23871,0.16069,0.13375,0.09176,1.63925,4.0832,1.32757,0.000693042,0.000693042,0.000693042
40,1615.09,0.3453,0.28396,0.77877,0.19624,0.15331,0.1203,0.07848,1.66116,4.0205,1.34453,0.000682043,0.000682043,0.000682043
41,1653.82,0.34051,0.27493,0.77953,0.18997,0.14848,0.12025,0.07977,1.6506,4.0287,1.29002,0.000671044,0.000671044,0.000671044
42,1695.34,0.33361,0.27426,0.78096,0.20234,0.14213,0.1172,0.07853,1.62815,4.06576,1.31973,0.000660045,0.000660045,0.000660045
43,1736.54,0.32446,0.258,0.77963,0.22267,0.16167,0.12181,0.08111,1.64138,4.21243,1.33764,0.000649046,0.000649046,0.000649046
44,1777.63,0.3222,0.26227,0.77705,0.25949,0.15139,0.12639,0.0852,1.62544,3.94975,1.31437,0.000638047,0.000638047,0.000638047
45,1817.57,0.31582,0.251,0.77564,0.19099,0.15073,0.12406,0.0861,1.61145,4.14118,1.29181,0.000627048,0.000627048,0.000627048
46,1859.57,0.30507,0.24356,0.77886,0.20824,0.14573,0.12691,0.0851,1.65423,4.37502,1.29468,0.000616049,0.000616049,0.000616049
47,1899.74,0.29586,0.24122,0.7757,0.18827,0.16845,0.11535,0.07731,1.63197,3.92616,1.30026,0.000605051,0.000605051,0.000605051
48,1940.68,0.29028,0.23048,0.77472,0.20964,0.143,0.13152,0.0939,1.61923,4.31081,1.29904,0.000594052,0.000594052,0.000594052
49,1980,0.29323,0.23078,0.77417,0.17367,0.15723,0.10126,0.06703,1.60223,4.18382,1.2741,0.000583053,0.000583053,0.000583053
