epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6013,1.49442,4.29095,1.22847,0.00408,0.33558,0.04148,0.02219,1.43707,3.81198,1.10725,0.000361721,0.000361721,0.000361721
2,100.847,1.51815,3.57209,1.20575,0.03571,0.2716,0.04952,0.02647,1.48203,3.6,1.20728,0.000724807,0.000724807,0.000724807
3,147.57,1.55721,3.40262,1.24695,0.10772,0.04591,0.0404,0.02326,1.61153,3.41997,1.30845,0.00108056,0.00108056,0.00108056
4,194.689,1.55422,3.31638,1.2128,0.07054,0.11582,0.02776,0.01586,1.76643,3.99856,1.41699,0.001078,0.001078,0.001078
5,241.638,1.58237,3.09431,1.24069,0.11461,0.18847,0.07209,0.04275,1.67011,2.96905,1.3297,0.001067,0.001067,0.001067
6,287.442,1.51735,3.03322,1.21586,0.12064,0.12703,0.07742,0.04749,1.68416,3.0897,1.37933,0.00105601,0.00105601,0.00105601
7,335.106,1.55626,2.96874,1.23605,0.11186,0.18135,0.07234,0.04209,1.67405,2.86772,1.34575,0.00104501,0.00104501,0.00104501
8,379.734,1.5207,2.81765,1.21859,0.38882,0.1619,0.08667,0.05356,1.55547,2.8087,1.26301,0.00103401,0.00103401,0.00103401
9,428.144,1.49643,2.70198,1.18839,0.17401,0.18933,0.07927,0.04732,1.57764,2.84338,1.32214,0.00102301,0.00102301,0.00102301
10,474.132,1.45223,2.54699,1.18889,0.3746,0.18482,0.11555,0.07121,1.5557,2.66729,1.28454,0.00101201,0.00101201,0.00101201
11,522.99,1.45874,2.51867,1.20149,0.17256,0.18812,0.11786,0.07547,1.55601,2.64864,1.31054,0.00100101,0.00100101,0.00100101
12,569.78,1.43234,2.52512,1.17452,0.18025,0.20981,0.12315,0.08326,1.60753,2.75187,1.30363,0.000990012,0.000990012,0.000990012
13,616.876,1.38035,2.38092,1.16245,0.2362,0.17312,0.12721,0.08557,1.54527,2.68779,1.24965,0.000979013,0.000979013,0.000979013
14,663.254,1.41337,2.36469,1.16153,0.22766,0.15033,0.11733,0.07629,1.52143,2.60559,1.2503,0.000968014,0.000968014,0.000968014
